"","GSM128731","GSM128734","GSM131685","GSM131686","GSM131687","GSM131688","GSM131689","GSM131690","GSM131691","GSM131692","GSM131693","GSM133816","GSM133817","GSM133818","GSM133819","GSM133820","GSM133821"
"AT1G08980",7.15526319935823,7.16890909510047,9.3189211258793,9.18582010419691,9.41000763140546,9.38945682020058,9.40100427034805,9.50903877416107,9.61463453354651,9.63586811072394,9.65255132598367,9.23951702820474,8.89621316780907,9.6906155266269,9.47564222217685,9.58566801732481,9.84246183178993
"AT2G20330",8.19729742535091,8.14037095908511,7.15053570486359,7.26004664613953,7.22623757083213,7.76568380429996,7.69320964106647,7.59979262938741,7.84994715227791,7.71861060788525,7.75857499654391,7.38061402540156,7.50261612897423,6.95751031767924,7.22465015301141,7.2450119867616,7.37968046193384
"AT2G19000",4.51482868293332,5.65878683365565,9.62490488998962,9.44334957416006,9.55560883564141,4.9368076169183,4.72749946918894,4.97255716123558,5.29619518056792,5.09209941414883,5.07419003794812,5.88076302645541,4.70892938063464,4.90003312504584,4.51246215295136,4.89700115035685,5.24374387910965
"AT2G16730",5.49653820322999,6.7061566097702,9.35784295486981,9.36575119383323,9.37011426793591,6.4218819086086,6.13636120018208,6.35468218156461,6.4790893034566,6.00674560410966,6.18834893145638,5.36666545713777,4.35927087822202,5.42594678986133,4.71047315868591,5.59344978352562,5.84067869168473
"AT2G17660",3.88471868552302,3.61785159045691,5.8093373347854,5.69702611629977,5.39939002295565,6.32965338451714,6.37382603518935,6.52375827576236,5.55699419052543,5.49829820182982,5.53256559540499,3.93645949921979,3.77974393819208,3.72006507788219,3.65625537033999,3.66938579027341,3.63715498154845
"AT2G17880",5.41625700126955,5.63907524270446,7.93106153221122,7.84423100619801,7.90375309990651,6.49618229408483,5.83297629183538,6.22230703123799,6.42058178164477,6.7800058365831,6.58345493401298,5.00395101877546,5.31387270542676,4.98755691812494,4.40764921234392,5.111895265031,4.64676450993504
"AT2G18510",8.77490750247399,8.77453049354177,7.17166527389993,7.25959338734111,6.99124004585298,7.72257398579908,7.79105622041771,7.8415990056714,7.66022248176194,7.79597741923643,7.72375361920277,7.87252185114792,7.62353403620357,7.3847667137709,7.04522752746231,7.33029340138558,6.95707345578972
"AT2G18180",4.72734063265134,5.32524373014237,6.5090658184938,7.05905225679209,6.4929795395365,4.98088473343415,5.17838829703805,4.91768560397496,5.13488084353292,4.77280668908451,5.0998513386614,5.74307116331071,4.88857999355593,5.00325218650722,5.65523727968935,5.2951395077479,5.45743145521561
"AT2G19010",3.99258558713036,4.17421420394938,5.30780862778912,5.3750717711674,5.21206896690202,4.52319810004751,4.31966381852223,4.38232390178209,4.50631208641397,4.6796648815013,4.47345336731222,5.55824356053264,5.41391240527115,5.49391281154352,5.1261353370106,4.98818986962373,4.63021729508482
"AT2G16950",8.38359233228637,8.15830738072608,6.99244553410038,6.81808749279836,6.88220405562898,7.52062545161564,7.88042284708381,7.61378672169579,7.63127473613292,7.60179041708965,7.41675365299986,7.22989039719731,7.47417198237145,7.11481727471074,7.179605621239,7.55031042071131,8.10251027574695
